category_slug,product_name,product_slug,seller_slug,current_price,seller_product_url,brand_slug,brand_name,product_description,model,sku,primary_image_url,image_urls,specifications,attributes,variation_type,parent_product_slug,original_price,currency,in_stock,stock_quantity,seller_rating,review_count,shipping_cost,free_shipping,estimated_delivery_days,seller_sku,seller_product_name,category_path,category_name,category_description,seller_name,base_url,seller_country_code,is_active
,Absolute New York 2-in-1 Foundation + Concealer 35ml - MFFC01 Cool Porcelain,absolute-new-york-2-in-1-foundation-+-concealer-35ml---mffc01-cool-porcelain,themallbd,1187,https://themallbd.com/product/absolute-new-york-2-in-1-foundation-concealer-35ml-mffc01-cool-porcelain,absolute-new-york,Absolute New York,"Benzoic Acid: moisturizing and age combatting, soothing and improves skin texture.
Sunflower Oil: protects skin from bacteria to eliminate acne, and from environmental stressors (UV, pollution, toxins) to prevent aging skin.
Argan Oil: improves water retention for long-lasting hydration, protects from environmental stressors (UV, pollution, toxins) to prevent aging skin, & balances oil (sebum) production to minimize acne and soothe atopic dermatitis.
Niacinamide: protects from bacteria to treat acne and inflamed skin, improves skin texture and water retention for long-lasting hydration, protects from environmental stressors (UV, pollution, toxins) to prevent aging skin, & balances oil (sebum) production to minimize acne.
Waterbased Foundation + Concealer.
Made in P.R.C.",,,,,,,,,1249,BDT,Yes,,,,,,,,Absolute New York 2-in-1 Foundation + Concealer 35ml - MFFC01 Cool Porcelain,,,,Themallbd,https://themallbd.com,BD,1
,Absolute New York Dramatic Eyebrow Pencil 0.25g - MEBP12 Dark Brown,absolute-new-york-dramatic-eyebrow-pencil-0.25g---mebp12-dark-brown,themallbd,474,https://themallbd.com/product/absolute-new-york-dramatic-eyebrow-pencil-025g-mebp12-dark-brown,absolute-new-york,Absolute New York,"A dual-ended eyebrow pencil to shape, fill, and define eyebrows for natural fullness.
The angled tip allows for long and precise detailed strokes, complete with a spoolie to soften and blend.
Hard formula is for those looking to precisely define the brows and for more control in mimicking real brow hairs.
Soft formula includes two different waxes for a more flexible application and creamier blend for those looking to fill larger gaps.
Imported from USA.
Made in PRC.",,,,,,,,,499,BDT,No,,,,,,,,Absolute New York Dramatic Eyebrow Pencil 0.25g - MEBP12 Dark Brown,,,,Themallbd,https://themallbd.com,BD,0
,Absolute New York Eyeshadow Palette - MESP06 Monarch Paradise,absolute-new-york-eyeshadow-palette---mesp06-monarch-paradise,themallbd,1282,https://themallbd.com/product/absolute-new-york-eyeshadow-palette-mesp06-monarch-paradise,absolute-new-york,Absolute New York,"Monarch Paradise : 12 colors of rich mattes, luminous metallics, & pearlescent shimmers .
Highly pigmented and ultra-smooth, long-wear shadows to seamlessly blend & layer together, with a collection of warm orange tones.
Free of Phthalates, Sulfates, Gluten & Fragrance.
Vegan & Cruelty Free.",,,,,,,,,1349,BDT,Yes,,,,,,,,Absolute New York Eyeshadow Palette - MESP06 Monarch Paradise,,,,Themallbd,https://themallbd.com,BD,1
,Absolute New York Eyeshadow Palette - MESP07 Rose Muse,absolute-new-york-eyeshadow-palette---mesp07-rose-muse,themallbd,1234,https://themallbd.com/product/absolute-new-york-eyeshadow-palette-mesp07-rose-muse,absolute-new-york,Absolute New York,"Absolute New York Eyeshadow Palette - MESP06 Rose Muse, 12 colors of silky satin shimmers, bold metallics & smooth, vibrant mattes.
Curated collection of highly pigmented pink and nudes, long-wear shadows to seamlessly blend & layer together",,,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/fda2ccee-f756-4a94-40b1-89fb11c3d000/webapp,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/fda2ccee-f756-4a94-40b1-89fb11c3d000/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/c6ac6898-fc5e-46f1-f259-8e7379ad3600/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/70dc0e04-11f0-4db9-3fb4-c7d20b5b2200/webapp,,,,,1299,BDT,Yes,,,,,,,,Absolute New York Eyeshadow Palette - MESP07 Rose Muse,,,,Themallbd,https://themallbd.com,BD,1
,Absolute New York Glide & Glam Gel Eye Liner 0.12g - MDGL04 Khaki Bronze,absolute-new-york-glide-&-glam-gel-eye-liner-0.12g---mdgl04-khaki-bronze,themallbd,427,https://themallbd.com/product/absolute-new-york-glide-glam-gel-eye-liner-012g-mdgl04-khaki-bronze,absolute-new-york,Absolute New York,"A waterproof gel eye liner that has a long-lasting, creamy formula that won't budge once it's set.
The ultra-fine tip allows for precise application.
Paraben Free, Sulfate Free, Phthalate Free, Fragrance Free.
Made in P.R.C.",,,,,,,,,449,BDT,Yes,,,,,,,,Absolute New York Glide & Glam Gel Eye Liner 0.12g - MDGL04 Khaki Bronze,,,,Themallbd,https://themallbd.com,BD,1
,Absolute New York Glide & Glam Gel Eye Liner 0.12g - MDGL05 Copper,absolute-new-york-glide-&-glam-gel-eye-liner-0.12g---mdgl05-copper,themallbd,456,https://themallbd.com/product/absolute-new-york-glide-glam-gel-eye-liner-012g-mdgl05-copper,absolute-new-york,Absolute New York,"A waterproof gel eye liner that has a long-lasting, creamy formula that won't budge once it's set.
The ultra-fine tip allows for precise application.
Paraben Free, Sulfate Free, Phthalate Free, Fragrance Free.
Made in P.R.C.",,,,,,,,,480,BDT,Yes,,,,,,,,Absolute New York Glide & Glam Gel Eye Liner 0.12g - MDGL05 Copper,,,,Themallbd,https://themallbd.com,BD,1
,Absolute New York Glide & Glam Gel Eye Liner 0.12g - MDGL06 Rose Gold,absolute-new-york-glide-&-glam-gel-eye-liner-0.12g---mdgl06-rose-gold,themallbd,427,https://themallbd.com/product/absolute-new-york-glide-glam-gel-eye-liner-012g-mdgl06-rose-gold,absolute-new-york,Absolute New York,"A waterproof gel eye liner that has a long-lasting, creamy formula that won't budge once it's set.
The ultra-fine tip allows for precise application.
Paraben Free, Sulfate Free, Phthalate Free, Fragrance Free.
Made in P.R.C.",,,,,,,,,449,BDT,No,,,,,,,,Absolute New York Glide & Glam Gel Eye Liner 0.12g - MDGL06 Rose Gold,,,,Themallbd,https://themallbd.com,BD,0
,Absolute New York Glide & Glam Gel Eye Liner 0.12g - MDGL07 White Pearl,absolute-new-york-glide-&-glam-gel-eye-liner-0.12g---mdgl07-white-pearl,themallbd,427,https://themallbd.com/product/absolute-new-york-glide-glam-gel-eye-liner-012g-mdgl07-white-pearl,absolute-new-york,Absolute New York,"A waterproof gel eye liner that has a long-lasting, creamy formula that won't budge once it's set.
The ultra-fine tip allows for precise application.
Paraben Free, Sulfate Free, Phthalate Free, Fragrance Free.
Made in P.R.C.",,,,,,,,,449,BDT,Yes,,,,,,,,Absolute New York Glide & Glam Gel Eye Liner 0.12g - MDGL07 White Pearl,,,,Themallbd,https://themallbd.com,BD,1
,Absolute New York Glide & Glam Gel Lip Liner 0.12g - MDGL09 Berry,absolute-new-york-glide-&-glam-gel-lip-liner-0.12g---mdgl09-berry,themallbd,456,https://themallbd.com/product/absolute-new-york-glide-glam-gel-lip-liner-012g-mdgl09-berry,absolute-new-york,Absolute New York,"A waterproof gel lip liner that has a long-lasting, creamy formula that won't budge once it's set.
The ultra-fine tip allows for precise application.
Paraben Free, Sulfate Free, Phthalate Free, Fragrance Free.
Made in P.R.C.",,,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/2f051683-78b4-4ad1-8863-6fed9f5c5500/webapp,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/2f051683-78b4-4ad1-8863-6fed9f5c5500/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/c0fb3b0c-4984-4e88-8d5a-c629cbbbec00/webapp,,,,,480,BDT,Yes,,,,,,,,Absolute New York Glide & Glam Gel Lip Liner 0.12g - MDGL09 Berry,,,,Themallbd,https://themallbd.com,BD,1
,Absolute New York Glide & Glam Gel Lip Liner 0.12g - MDGL10 Retro Red,absolute-new-york-glide-&-glam-gel-lip-liner-0.12g---mdgl10-retro-red,themallbd,379,https://themallbd.com/product/absolute-new-york-glide-glam-gel-lip-liner-012g-mdgl10-retro-red,absolute-new-york,Absolute New York,"A waterproof gel lip liner that has a long-lasting, creamy formula that won't budge once it's set.
The ultra-fine tip allows for precise application.
Paraben Free, Sulfate Free, Phthalate Free, Fragrance Free.
Made in P.R.C.",,,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/d0355e3f-fda3-41de-0329-b4c142d29500/webapp,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/d0355e3f-fda3-41de-0329-b4c142d29500/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/347d2d82-aaad-4d65-f14c-7b0a58926f00/webapp,,,,,399,BDT,Yes,,,,,,,,Absolute New York Glide & Glam Gel Lip Liner 0.12g - MDGL10 Retro Red,,,,Themallbd,https://themallbd.com,BD,1
,Absolute New York Glide & Glam Gel Lip Liner 0.12g - MDGL11 Soft Rose,absolute-new-york-glide-&-glam-gel-lip-liner-0.12g---mdgl11-soft-rose,themallbd,456,https://themallbd.com/product/absolute-new-york-glide-glam-gel-lip-liner-012g-mdgl11-soft-rose,absolute-new-york,Absolute New York,"A waterproof gel lip liner that has a long-lasting, creamy formula that won't budge once it's set.
The ultra-fine tip allows for precise application.
Paraben Free, Sulfate Free, Phthalate Free, Fragrance Free.
Made in P.R.C.",,,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/482bd4d9-a0fd-469f-9d83-479adf03eb00/webapp,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/482bd4d9-a0fd-469f-9d83-479adf03eb00/webapp;https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/1a37bb47-bfef-4eb4-d09d-56de9db60300/webapp,,,,,480,BDT,Yes,,,,,,,,Absolute New York Glide & Glam Gel Lip Liner 0.12g - MDGL11 Soft Rose,,,,Themallbd,https://themallbd.com,BD,1
,Absolute New York Glide & Glam Gel Lip Liner 0.12g - MDGL13 Nude Pink,absolute-new-york-glide-&-glam-gel-lip-liner-0.12g---mdgl13-nude-pink,themallbd,379,https://themallbd.com/product/absolute-new-york-glide-glam-gel-lip-liner-012g-mdgl13-nude-pink,absolute-new-york,Absolute New York,"A waterproof gel lip liner that has a long-lasting, creamy formula that won't budge once it's set.
The ultra-fine tip allows for precise application.
Paraben Free, Sulfate Free, Phthalate Free, Fragrance Free.
Made in P.R.C.",,,,,,,,,399,BDT,Yes,,,,,,,,Absolute New York Glide & Glam Gel Lip Liner 0.12g - MDGL13 Nude Pink,,,,Themallbd,https://themallbd.com,BD,1
,Absolute New York Glide & Glam Gel Lip Liner 0.12g - MDGL14 Nude Brown,absolute-new-york-glide-&-glam-gel-lip-liner-0.12g---mdgl14-nude-brown,themallbd,379,https://themallbd.com/product/absolute-new-york-glide-glam-gel-lip-liner-012g-mdgl14-nude-brown,absolute-new-york,Absolute New York,"A waterproof gel lip liner that has a long-lasting, creamy formula that won't budge once it's set.
The ultra-fine tip allows for precise application.
Paraben Free, Sulfate Free, Phthalate Free, Fragrance Free.
Made in P.R.C.",,,,,,,,,399,BDT,Yes,,,,,,,,Absolute New York Glide & Glam Gel Lip Liner 0.12g - MDGL14 Nude Brown,,,,Themallbd,https://themallbd.com,BD,1
,Absolute New York HD Baking Banana Loose Powder 16g,absolute-new-york-hd-baking-banana-loose-powder-16g,themallbd,949,https://themallbd.com/product/absolute-new-york-hd-baking-banana-loose-powder-16g,absolute-new-york,Absolute New York,"Helps to color correct and a warm highlight.
Reduce shine and absorbs excess oil.
Long lasting moisturizing effect.
Helps to reduce the appearance of fine lines and wrinkles.
Hides acne and dark spot areas.
Create smoothness effect and brightness.
Imported from USA.
Made in Taiwan.",,,,,,,,,999,BDT,Yes,,,,,,,,Absolute New York HD Baking Banana Loose Powder 16g,,,,Themallbd,https://themallbd.com,BD,1
,Absolute New York HD Flawless Correction Brightening Banana Setting Powder - HDSP02,absolute-new-york-hd-flawless-correction-brightening-banana-setting-powder---hdsp02,themallbd,949,https://themallbd.com/product/absolute-new-york-hd-flawless-correction-brightening-banana-setting-powder-hdsp02,absolute-new-york,Absolute New York,"A lightweight and finely-milled loose powder that delivers a poreless, matte finish and extended wear-time to your makeup.
Great for baking and mattifying the areas of the face that are prone to creasing (under eyes and smile lines) or vulnerable to excess shine.
Paraben Free, Sulfate Free, Phthalate Free, Fragrance Free",,,,,,,,,999,BDT,Yes,,,,,,,,Absolute New York HD Flawless Correction Brightening Banana Setting Powder - HDSP02,,,,Themallbd,https://themallbd.com,BD,1
,Absolute New York HD Flawless Foundation 28ml - AHDF01 Natural,absolute-new-york-hd-flawless-foundation-28ml---ahdf01-natural,themallbd,1092,https://themallbd.com/product/absolute-new-york-hd-flawless-foundation-28ml-ahdf01-natural,absolute-new-york,Absolute New York,"A lightweight and buildable water-based liquid foundation,
Infused with Beeswax, Vitamin E, and Cornflower Extract, for exceptionally smooth, natural, second-skin coverage
That dries to a demi-matte finish and lasts all day.
Imported from UK.",,,,,,,,,1150,BDT,Yes,,,,,,,,Absolute New York HD Flawless Foundation 28ml - AHDF01 Natural,,,,Themallbd,https://themallbd.com,BD,1
,Absolute New York HD Flawless Foundation 28ml - AHDF02 Sand,absolute-new-york-hd-flawless-foundation-28ml---ahdf02-sand,themallbd,949,https://themallbd.com/product/absolute-new-york-hd-flawless-foundation-28ml-ahdf02-sand,absolute-new-york,Absolute New York,"A lightweight and buildable water-based liquid foundation that provides a natural veil to add healthy radiance to the skin.
Beeswax: creates a protective barrier from bacteria to eliminate acne and smoothen skin texture, & protects from environmental stressors (UV, pollution, toxins) to prevent aging skin.
Vitamin E: creates a protective barrier from environmental stressors (UV, pollution, toxins) to prevent aging skin, & strengthens the skin barrier to improve water retention for long-lasting hydration.
Cornflower Water: soothes sensitive and irritated skin, minimizing redness and inflammation.
Paraben-Free, Sulfate-Free, Phthalate-Free, Fragrance-Free.
Designed in the U.S.A.
Made in P.R.C.",,,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/957dc3b4-4119-4b50-eaeb-26e09c8e6600/webapp,https://imagedelivery.net/l4CsIlnhtw2tvyzDeto1cw/957dc3b4-4119-4b50-eaeb-26e09c8e6600/webapp,,,,,999,BDT,Yes,,,,,,,,Absolute New York HD Flawless Foundation 28ml - AHDF02 Sand,,,,Themallbd,https://themallbd.com,BD,1
,Absolute New York HD Flawless Foundation 28ml - AHDF03 Beige,absolute-new-york-hd-flawless-foundation-28ml---ahdf03-beige,themallbd,807,https://themallbd.com/product/absolute-new-york-hd-flawless-foundation-28ml-ahdf03-beige,absolute-new-york,Absolute New York,"A lightweight and buildable water-based liquid foundation,
Infused with Beeswax, Vitamin E, and Cornflower Extract, for exceptionally smooth, natural, second-skin coverage
That dries to a demi-matte finish and lasts all day.
Imported from UK.",,,,,,,,,850,BDT,Yes,,,,,,,,Absolute New York HD Flawless Foundation 28ml - AHDF03 Beige,,,,Themallbd,https://themallbd.com,BD,1
